date, truckid, miles, paid, deducted
12/20/2019, 14984, 2092, 1664.68, 114.93
12/20/2019, 15173, 1036, 767.48, 126.47
12/20/2019, 14334, 940, 777.16, 111.47
12/20/2019, 14288, 1622, 1294.89, 109.17
12/20/2019, 13416, 1915, 1522.78, 109.17
12/20/2019, 13904, 1349, 1058.08, 109.17
12/20/2019, 15172, 2276, 1988.25, 150.42
12/20/2019, 14005, 1518, 1485.64, 97.63
12/20/2019, 14314, 208, 183.08, 90.70
12/20/2019, 14271, 712, 553.93, 91.86
09/23/2019, 13795, 1149, 926.19, 90.32
09/23/2019, 13357, 1839, 1550.75, 86.86
09/23/2019, 13461, 465, 381.35, 86.86
09/23/2019, 15092, 687, 758.26, 140.81
09/23/2019, 13775, 678, 642.30, 90.32
09/16/2019, 13357, 1785, 1494.31, 86.86
09/16/2019, 13795, 715, 594.25, 90.32
09/16/2019, 15092, 1543, 1622.46, 140.81
09/16/2019, 13775, 1525, 1387.37, 90.32
09/16/2019, 13768, 813, 654.59, 90.32
10/07/2019, 13768, 2802, 2373.59, 90.32
10/07/2019, 15092, 2871, 2557.25, 140.81
10/07/2019, 13357, 2259, 1866.89, 86.86
10/07/2019, 13795, 760, 639.76, 90.32
10/07/2019, 13461, 1503, 1254.37, 86.86
10/07/2019, 13775, 1518, 1351.04, 90.32
06/14/2019, 15092, 2583, 2084.67, 162.90
06/14/2019, 13775, 1995, 1921.48, 65.88
06/14/2019, 13768, 973, 764.07, 65.88
06/14/2019, 13461, 1587, 1293.33, 63.46
06/07/2019, 15092, 1658, 1374.64, 627.07
06/07/2019, 13461, 328, 300.84, 63.46
06/07/2019, 13775, 772, 879.71, 65.88
05/31/2019, 13461, 1468, 1182.60, 63.46
05/31/2019, 13768, 1745, 1569.49, 65.88
06/28/2019, 15092, 5160, 4323.91, 162.90
06/28/2019, 13775, 2840, 2289.73, 65.88
06/28/2019, 13795, 1189, 1084.87, 65.88
06/21/2019, 13775, 3656, 3311.04, 65.88
06/21/2019, 13461, 2149, 1055.91, 63.46
06/21/2019, 15092, 4162, 3329.29, 162.90
06/21/2019, 13795, 1034, 928.42, 65.88
07/19/2019, 13795, 774, 800.18, 90.32
07/19/2019, 15092, 3964, 3245.99, 140.81
07/19/2019, 13461, 996, 863.98, 86.86
07/19/2019, 13357, 1864, 1658.34, 86.86
07/19/2019, 13775, 858, 694.53, 90.32
07/06/2018, 13357, 0, 0.00, 42.52
07/06/2018, 13461, 1901, 1626.39, 63.46
07/06/2018, 13795, 996, 820.09, 65.88
07/06/2018, 13353, 150, 119.85, 63.46
07/06/2018, 13775, 314, 305.71, 65.88
07/06/2018, 13768, 302, 281.78, 65.88
07/06/2018, 14005, 813, 900.99, 84.99
07/06/2018, 13314, 1529, 1163.12, 93.07
07/06/2018, 14334, 744, 636.72, 94.69
07/06/2018, 14271, 1947, 1844.71, 80.96
07/06/2018, 14314, 1546, 1177.31, 101.09
07/06/2018, 14288, 0, 53.00, 93.07
10/11/2019, 13768, 2802, 2373.59, 90.32
10/11/2019, 15092, 2871, 2557.25, 140.81
10/11/2019, 13357, 2259, 1866.89, 86.86
10/11/2019, 13795, 760, 639.76, 90.32
10/11/2019, 13461, 1503, 1254.37, 86.86
10/11/2019, 13775, 1518, 1351.04, 90.32
10/04/2019, 13795, 1149, 926.19, 90.32
10/04/2019, 13357, 1839, 1550.75, 86.86
10/04/2019, 13461, 465, 381.35, 86.86
10/04/2019, 15092, 687, 758.26, 140.81
10/04/2019, 13775, 678, 642.30, 90.32
09/20/2019, 13357, 1785, 1494.31, 86.86
09/20/2019, 13795, 715, 594.25, 90.32
09/20/2019, 15092, 1543, 1622.46, 140.81
09/20/2019, 13775, 1525, 1387.37, 90.32
09/20/2019, 13768, 813, 654.59, 90.32
08/30/2019, 13461, 1642, 1322.52, 86.86
08/30/2019, 13795, 1446, 1321.54, 186.34
08/30/2019, 15092, 3238, 2585.08, 140.81
